neg_content,pos_attr
้าว อยากมีเรื่องหรอวะ ไอ้หัวเกรียน!,"['อยากกิน', 'อยากกิน', 'อยากกิน', 'อยากกินเลี้ยง', 'อยากกิน', '😍']"
<mask> สัตว์มึง<mask><mask>ดิ,['ก้อไปกิน']
ไอ้คน<mask> แก<mask>หวังว่าจะตายดี,['อยากไป']
ปอ. ว่าแต่เขาอิเหนาเป็นเอง ขี้คุยชมัด,['อร่อย']
มือถือ<mask>อ่ะ <mask>จัง,['😍']
<mask>อ่ะน้องแกพลาดประธานตึกไปแค่ 16 แต้ม 😭,['ไป']
เหม็น หยุดใช้น้ำหอมยี่ห้อนี้ได้มะ <mask>ฉุนๆ มากกว่าหอมอ่า._.,"['ไปทําให้', 'แถมยังแห้งเร็ว', 'มากกก', 'หอมเวอร์', 'ๆๆมะ', 'แขนดูกระจ่างใส', 'เกลี่ยง่าย', 'กลิ่นหอม', 'ชอบ', 'สดชื่น', 'มันต้องมี', '😘', '😍', '😁']"
ของเก่า<mask> เหมือนอายุเจ้าของที่ใกล้ลงโลง,"['ที่ชอบ', 'ไปหมดได้', 'สนุกมาก']"
เรา<mask>เฌอปราง แบบ<mask><mask>นาง,"['ฟิน', 'ดีจริง', 'มันทนเว่อ', 'เริ่ด', 'ถูกและดี']"
แล้วจะให้ฉันทำยังไง แกทำตัว<mask>ซะขนาดนี้ <mask>พี,"['น่าอ่าน', 'มากค้า', 'มาออกแนว', 'ช่วยให้กลจะ']"
<mask>วะ ไอ้เมากาวสายนู้ป กูไม่เคย<mask>ขนาดมึง,"['เอ็มเคได้', 'อยากกิน']"
ก็แค่พวก<mask>,['ชอบ']
ย้ายที่สักทีเถอะ หนู<mask>ยัย<mask>คนนี้ จนจะทนต่อไป<mask>,"['ผิวสวย', 'ง่าย', 'ฟิน', 'บอกเลยว่าไม่ขี้เกียจที่']"
เอมี่เดินออกจากวงสนทนาเงียบๆ <mask>ชอบดราม่า<mask>เหตุ,"['ชอบดู', 'ที่ชอบ', 'อยากไป', 'ดีเวลา', 'ชอบ', 'น่ารักๆ']"
ครูรุ่งทิวา วาดรูปเมมเบรนของเซลล์เม็ดเลือดได้<mask> มาก มว๊ากแก,"['ด้วยค่ะดอกเบี้ยถูก', 'มากค่ะ', 'สนใจ']"
<mask>พวกชอบอวดแฟนให้กับคนที่เพิ่งอกหักหมาดๆ แบบกูว่ะ เต้,"['ชอบ', 'อนาคตใหม่', 'ดี😂', 'ฟ้ารักพ่อ']"
หยุดเถอะ ขอละนะ มันน่ารำคาญ,[]
สาบานเหอะว่าที่แกพูดนะ แกไม่รู้ความหมาย <mask>หรอกโว้ย,"['ที่สุด', 'ด้วยความเบาบางเนียน', 'ได้ฟิว', 'ดุดันไม่แอลกอฮอล์', 'รับรองว่าไม่แพ้', 'ดีในราคา', 'ดีงาม', 'ใช้ง่าย', 'อยากดู', 'สะดวก', 'คุ้ม']"
อย่าไปเชื่ออิพลอย พลอย<mask>ชอบ<mask>,"['อยากไป', 'อยากไป', 'อยากไปไหมแม่', 'อยากไป']"
อยากให้ดู<mask>,['ดี๊ดี']
จะแปบหนึ่งอีกกี่ครั้ง เรา<mask>แล้วจิงๆ,['ตื่นเต้นมากจะ']
ี้เกียจทำงานชีวะอ่ะ,"['ชอบ', 'ชอบ', 'ชอบ', 'ชอบnissan', 'ชอบ', 'railค่ะสวยหรู', 'ง่าย', 'ปลอดภัยสมรรถนะ', 'เยี่ยม']"
ฐิตา<mask>เย็นชาที่สุดในสามโลก,['ดีที่สุด']
รอรถไฟฟ้า<mask>ๆวันนี้,"['ขอบคุณ', 'ขอบคุณ', 'ขอบคุณ', 'ขอบคุณ', 'ขอบคุณ', '❤', 'เกินความคาดหมาย', 'ไปหมดเลย']"
แม่เจ้า น้องหมาทำห้อง<mask>อีกหรอ เป็นลมแปบ,"['พรุ่งนี้', 'พรุ่งนี้', 'พรุ่งนี้', 'พรุ่งนี้ไปอีก', 'พรุ่งนี้']"
<mask>ว่ะ มึงคิดถึงจิตใจแฟนมึงด้วยสิ เขาจะรับได้หราว่ะ,"['ฉ่ํา', 'นัก', 'นัก', 'นัก', 'นัก', 'อยากไป', 'สนใจ', 'แค่ไหนก็ไม่หวั่นค่ะ']"
เจ้าประคุณฉันไม่เคยเจอใคร ขยันในเรื่อง<mask>เง่าเต่าตุนได้ดีเท่าเทอเลย,"['ที่สําคัญไม่กินเนื้อ', 'อร่อย', 'ค่ะไม่เคยเจออะไรแปลกๆ']"
แล้วไอ้วิน มึงจะให้<mask>ฉายไม่ทำ<mask>เลย ไม่ได้นะเว้ย,"['ที่สุด', 'ด้วยความเบาบางเนียน', 'ได้ฟิว', 'ดุดันไม่แอลกอฮอล์', 'รับรองว่าไม่แพ้', 'ดีในราคา', 'ดีงาม', 'ใช้ง่าย', 'อยากดู', 'สะดวก', 'คุ้ม']"
บอกเองเลยที่บ้าน<mask>กินบาบีก้อน,"['ที่สําคัญไม่กินเนื้อ', 'อร่อย', 'ค่ะไม่เคยเจออะไรแปลกๆ']"
บ่อแม่นblend285แต่เป็น<mask>เขา285,"['เราจะเป็นเดียวที่นั่ง', 'กดหัวใจให้ความ', 'ชอบ', 'และรสชาติหวาน', 'สนุก']"
บุหรี่ไฟฟ้านะโว้ยมิใช่บ้า<mask>,"['เอาใจช่วย', '💖']"
เบียร์ช้าง3ขวด360นี่ก็<mask>เกิ้น,['ได้ก็เพราะบุหรี่ไฟฟ้า']
บียร์ช้างขายขวดละ115บาทคืออะไร,"['🍑โอ้ยยย', 'มากกก', 'มากก', 'ละมุน', 'ๆๆเนื้อดี', 'ติดทน', 'เล็กๆ', 'น่ารัก', 'ง่าย', 'คุ้ม']"
เบียร์ลาวแช่เย็นไฮเนเก้นสิง<mask>,['ไม่แพ้']
แปลกจังทำ<mask>เหมือนที่มั่น,"['ที่สุด', 'ด้วยความเบาบางเนียน', 'ได้ฟิว', 'ดุดันไม่แอลกอฮอล์', 'รับรองว่าไม่แพ้', 'ดีในราคา', 'ดีงาม', 'ใช้ง่าย', 'อยากดู', 'สะดวก', 'คุ้ม']"
<mask>fortunerในในเอเวอร์อีก,['ไม่เหม็น']
มาสด้าเค้า<mask>ด้วย<mask>เหรอ,['ใช้มากไม่ดุดัน']
เมท10โปร<mask>เบาภาพ<mask>5,"['ขอบคุณ', 'ขอบคุณ', 'ขอบคุณ', 'ขอบคุณน่ะ', 'ขอบคุณ']"
<mask>เลยสู้ไก่กรอบแบบเก่ามิได้,[]
ไม่ว่าบาบิก้อน<mask>ตัวตึด🤮🤮🤮,"['น่าใช้', 'ชอบมาก']"
รัฐกลัว<mask>คงแก่กล้าทำประชาวิจารนใน,['สู้ๆๆ']
เราใช้<mask><mask>ก้น😭,"['มากค่ะ', 'เย็นๆ', 'เราชอบ', 'มันแห้งสบาย', 'ไม่เหนียว', 'ผ้านุ่มนะ', 'ติดใจ', 'ชอบมาก']"
เรา<mask>ลอรีเอะโทเดสีโซฟี<mask>บางรุ่น,['เย็นสบาย']
<mask>ในการรับลูกค้า,"['สวย', 'สนใจ']"
องผ้าอนามัยแบบสอดละบอกได้คำเดียว,"['ได้คําเดียวว่า', 'อร่อยมาก']"
ลองละ<mask>รสชาติเหมือน285เลยอะ,"['อร่อย', 'หอมๆๆหวาน', 'มากๆๆค่ะ']"
แล้วตอนนี้มึงก็แดก<mask>อ้อ,"['สุดยอด', 'สุดยอด', 'สุดยอด', 'สุดยอดเลยครับ', 'สุดยอด', 'สวยงาม']"
ลตัสสาขาพนมสารคามยังไม่เลยคับ,[]
ปายาเนี่ยนะเมาเอ็นดูว่ะ5,['ขอบคุณนะ']
สีเมออฟอีเลคทริคบลูรสชาติ<mask>มาก,['อร่อย']
ั่งชุดหมูเฮฮาไปพนักลงงานบอกไม่,"['อร่อย', 'คุ้ม', 'ของให้การเยอะมากแถม', 'เล็กๆ', 'ไปฉลอง']"
<mask>ซัค!!พี่ใช้ของอินนิสีฟรีอยู่ล่ะ,"['ติดใจ', 'ดีค่ะ', 'ชอบ', '😍']"
<mask>มาก<mask>ไปแล้ว,"['ได้โอกาสมาทาน', 'ที่ใหญ่มากลูกค้า', 'รวดเร็ว', 'ขอแสดงความชื่นชม', '👏🏻']"
ห้องน้ำสะอาดแต่ชักโครก<mask>สะอาด,"['สะอาด', 'เงียบสงบ', 'ที่จอดรถเยอะ']"
หู้ยยยเพิ่งกระผม<mask>แชมพู5,"['ขอบคุณ', 'ขอบคุณ', 'ขอบคุณ', 'ขอบคุณน่ะ', 'ขอบคุณ']"
เห็นรูปหมูบาบีก้อนแล้วขนลุก<mask>,"['พรุ่งนี้', 'พรุ่งนี้', 'พรุ่งนี้', 'พรุ่งนี้จะ', 'พรุ่งนี้', 'ไปกินเห็นแล้ว']"
อินนิสีฟรี<mask><mask>เบอร์ยากไร้ไปแล้ว,"['ไป', 'อยากจัง']"
อินิสีฟรีพันห้าอีฟ<mask>,[]
<mask>ยังไม่<mask>กับแสงสีอีก,"['มั่ก', 'สุดๆ', 'ไม่สีไม่แสบ', 'เยี่ยม', 'สุดให้']"
โอ้ยนี่โคตร<mask>มีเดียเลยนุ้ง,"['เลยครับภาพชัด', 'ถูกกว่าในห้าง', 'ดีมาก', 'ไม่เคยผิดหวัง']"
มิได้มื้อล่าสุดห้าพัน,['ป่ะ']
biotherm<mask>แต่มัน<mask>ยอม5,"['อยากกิน', 'อยากกิน', 'อยากกิน', 'อยากกินนะ', 'อยากกิน']"
hoegaardenในbreezerในsnowyคือ<mask>จริง,"['อร่อย', 'สุดแล้วจริง', 'ๆๆหวานๆ', 'คือดี', 'ชอบ', '💕']"
eriperaก็หายetudeก็หายหายไปไหน!!!,['ได้ก็เพราะบุหรี่ไฟฟ้า']
howในนี่ยังไม่เปิดจริงจังไปอีกหรอ,"['กําลังดี', 'ฉ่ํา', 'เกลี่ยง่ายมาก', 'ดีๆๆลุคนี้', 'ง่าย', 'พุ่งไปอ', 'อยากดู']"
toyotaaltisติดตั้งชุดเครื่อง<mask>,['ชุดเดียวอิ่ม']
กระทรวงยาสูบมันต่อต้านมันกลัว<mask>,"['สู้ๆๆ', 'มันต้องมี']"
กระทืบไลค์เลยครับ<mask><mask>👎,"['ว้าว', 'ว้าว', 'ว้าว', 'ว้าวเต็ม', 'ว้าว']"
ก้อนเลือกตอบ<mask>ในจากลูกค้าประจำ,"['ชอบ', 'เลือกไม่ผิด', 'ชอบ']"
<mask>กว่านี้ด้วยค่ะ,"['กินอาหารจีนกัน', 'อร่อย', 'ที่สุด']"
ินแค่ฟูลงมูนขวดเดียวก็มึนแล้วเอิ่ม,"['ชอบ', 'สวยๆ', 'ไม่เป็นไร']"
ูอยากขว้างtarteกับจูเลียทิ้งเลย,"['love', '💕', 'ชอบ', 'ดื่มง่าย', 'แถมยัง', 'ไม่แพงราคาสบาย', 'เลยค่ะกิน', 'ไปกัน']"
ขอ<mask><mask>พลาซ่าไป<mask>,['โอ๊ยอยาก']
คุณลุงคนขับแท็กซี่ทำฉัน<mask>ใน,"['ดีจังเลย', 'ชอบ', 'ตกหลุมรัก', '💙']"
แค่แถมเป๊ปซี่<mask>เบย55,['อร่อยมาก']
<mask>ก็<mask><mask>มาก,"['มากกก', 'นโยบายก็ดี', 'ดีทุกอย่างเลย', 'อยากไป']"
จ.<mask><mask>จัง,[]
จะน้ำจะเบียร์<mask>ของสิงห์อยู่ละ,['จะกิน']
โซ<mask>กว่าลอรีเอ๊ะนิสีนึง,['อยากขับรีโว่']
แดกsmirnoffหวังเมา<mask>ไม่เมา😡,"['อร่อย', 'ชอบมากๆ']"
ดนผีสิงห์น.ลุกมะไหวเลยยยในsingha,"['ชอบ', 'ชอบ', 'ชอบ', 'ชอบมากเลย', 'ชอบ']"
ทำไม<mask>เคบุฟเฟ่ต์,"['เอ็มเคได้', 'อยากกิน']"
ทำไมไม่ไปเล่นพวกซื้อขายบุหรี่<mask>,"['อยากกิน', 'อยากกิน', 'อยากกิน', 'อยากกินอ่ะ', 'อยากกิน', '๊กไป']"
นั่งดูโจมาโลน555<mask>โดนป้าย555,['ๆมานั่งจิบ']
<mask>ให้คว่ำในค่าบาร์บีก้อน5,['น่าแดก']
น้ำตาจิไหลพึ่งเห้นคำว่า<mask>,"['ได้คําเดียวว่า', 'อร่อยมาก']"
เบียร์ช้างหั่นดีกรี<mask>,"['อยากกิน', 'อยากกิน', 'อยากกิน', 'อยากกินง', 'อยากกิน']"
<mask>แล้วaltisอยากขับcityสีขาววว,['10สีสวย']
าหนังสือแลไปปรสิตใส่หน้าบาบีก้อนแปบ,"['ออกไปชิลๆ', 'สวยมาก', '😘', 'happy']"
<mask>นี่กว่าเยอะ,"['ไปสั่งเป็ด', 'เอ็มเคกิน', 'ฟิน']"
ไป<mask>ว่ายังงั้นเลยคะ,"['สู้', 'ไปด้วย', 'ส่งใจไป']"
เพราะบ้านเรามันยะลาครับเลย<mask>,['น่ารักจัง']
ึงจะให้คนงานไปแดกอย่างเดียวใช่ไหม,['จะไป']
ไม่ว่าแดกสีเมออฟเลย<mask>อีกจได้,"['ประทับใจ', 'จะได้ไป', 'ตื่นเต้น', 'พาไป', 'ตื่นตาตื่นใจ', 'ไปหมดแค่', 'ไปกินบาบี', 'ชอบ', 'ร้อนๆๆแตก', 'เย็นสบาย', '😋', 'อร่อยมาก', 'ผ้านุ่มมาก', 'ดีใจ', 'มากกก', 'สู้จะอธิบาย', 'เลยอยากมาอีก', 'รู้สึกดี', 'บ้านทุกครั้งที่ได้', 'อบอุ่น', '❤']"
ม่แปลกใจเลยถ้าเห็นสัปเหร่อกินแบล็ค,"['กินเลยค่ะ', 'อยากกิน']"
<mask>ไม่คนมารับมาให้คิวเลย,"['น่ารักมากๆ', 'น่ารัก', 'สวยๆ', 'ค่ะไป', 'รักเลย']"
ลองแล้วใช้เบียร์ช้างอร่อยค่ะลีโอ<mask>,['มีความสุข']
่วนตัวไฮเนเก้นถูกปากกว่าฮูการในเด้ใน,"['ที่น่า', 'ดีใจ']"
ะพานไม่นับรวมข้างขึ้นลงงงบักคัก😢,"['มั่ก', 'สุดๆ', 'ไม่สีไม่แสบ', 'เยี่ยม', 'สุดให้']"
<mask>เหมือนกับกุ้งอ่ะ,['มิได้อวย']
สำหรับชั้น<mask>สุดก็บิโอเรกับมีเดีย,"['ไร้เครื่องสําอางตกค้าง', '🎉', 'สวย', 'อยากใช้bio', 'สะอาด', 'หมดจดหัวหน้า', 'ง่าย']"
<mask>ดังต่อลำโพงวัดไปเลยคับ555,"['2.ไป', 'ไปกัน', 'บรรยากาศดี', 'ก็อร่อย', '👍']"
<mask>พนักงานอีทูดี้สาขาแฟชั่นโว้ย,"['ขอบคุณ', 'ขอบคุณ', 'ขอบคุณ', 'ขอบคุณบริษัท', 'ขอบคุณ']"
อร่อยน่ะแต่ปริมาน<mask><mask><mask>ด้วย,"['รสไม่ค่อยได้แต่', 'ชอบ', 'แถมถูก']"
<mask>ในเอาน้องมาขายผ้าอนามัยอล<mask>😂,"['สบายใจจ้า', 'มากินบ', 'าบีก้อนกัน']"
อ่านคอมเม้นแล้ว<mask>ไปกินเลยดูสิ,"['กินเอ็มเคแล้ว', 'อยากกิน']"
อิสระค่าผ้าอนามัย<mask><mask>ๆๆกับค่าเหล้า,"['ติดทนนาน', 'น้ําหอมที่ดี', 'ประทับใจ', 'ดีค่า', 'ติดทน', 'สดชื่น', 'แล้วไม่รู้สึกว่าฉุน', 'แถมระงับกลิ่น', 'ชุ่มชื่น', 'อีกด้วยใช้ได้นาน', 'ไปทั้งนั้นเลย', 'ราคาไม่แพงด้วยราคา', 'คุ้ม', 'ง่าย', 'หอมมั่นใจ', 'และราคาถูก', 'มากๆๆเลยค่า', 'ขอบคุณ', 'ถูกและดี', 'อยากไป', '❤']"
<mask>แมค<mask>เลยเคฟซีน่าแดกกว่า,"['เป็นรถแบบว่าดูไม่เบื่อ', 'เยี่ยม', 'ไปด้', 'สนุก']"
<mask>ผ่านetudeเปิดtwilghtอีก,"['พรุ่งนี้', 'พรุ่งนี้', 'พรุ่งนี้', 'พรุ่งนี้ไปอีก', 'พรุ่งนี้']"
<mask>พึ่งเคยใช้ผ้าอนามัยแบบเย็น,"['ฟิน', 'ดีจริง', 'มันทนเว่อ', 'เริ่ด', 'ถูกและดี']"
อุส่าเอาสปายามาแดกหุเลียพื้นเลย<mask>,"['✌', 'ไปเลยล่ะ']"
เอ็มเค<mask>เสมอต้นเสมอปลายเส้า,['สดชื่น']
แพนด้า<mask>วาแดกในแดกน้ำมันสุดๆๆอิสิ,"['ติดใจ', 'สุดๆ']"
ในไม่เคยทำให้<mask>ดีไซน์รถหรูสวย,['ชอบ']
ในใน1.9ใช้มา30กิโลทำไม<mask>มาก,"['ว้าว', 'ว้าว', 'ว้าว', 'ว้าว', 'ดีใจมาก', 'ๆๆเลยค่า']"
กินบุเฟ่เอ็มเคยังไงกูก็กิน<mask>อะ,['เท่าไรก็ไม่เบื่อ']
กุต้อง<mask>บาบีก้อนระ,['ไปกินเยอะ']
<mask>วกราดใส่กาวผ้าอนามัยแล้วนะ,['ขอบคุณ']
ขายมิได้คับออส<mask>แรงจนล้อแตก,"['สุดยอด', 'มารูปทรง', 'สวย', 'เครื่องยนต์แข็งแกร่งแรง', 'ดีไม่ตก', 'ง่าย', 'สะดวกสบาย', 'ราคาถูกมาก']"
เข้าเกียร์<mask>อีก,['ไม่เหม็น']
ค่าเช่าชุด<mask>ไปกินอีกนะออเจ้า555,"['ไปสั่งเป็ด', 'เอ็มเคกิน', 'ฟิน']"
งือวันนี้<mask>อ่ะ,"['สู้เหล้า', 'จัด']"
จะขายmacchargewaterละใช้<mask>ละ,"['ป่ะ', 'ๆๆหิว']"
<mask>ใน<mask>น่ากลัวกว่า<mask>,['บุหรี่ไฟฟ้ากว่าประหยัด']
<mask><mask>มีแล้วเลย,"['ชอบ', 'ติดทน', 'ที่ชอบ', 'เนื้อละเอียดเบา', 'มากๆๆ', 'รู้สึกผิวลื่น', 'ละมุน', 'ส่วนตัวเฉยๆ', 'ดีตรงที่', 'รู้สึกสบาย']"
<mask>อ่านบาร์บิก้อนแล้วกุ<mask>🤢🤮,"['พรุ่งนี้', 'พรุ่งนี้', 'พรุ่งนี้', 'พรุ่งนี้จะ', 'พรุ่งนี้', 'ไปกินเห็นแล้ว']"
ื้อในvoucherแล้วค่ะแต่งงๆๆวิธีใช้,['เลิกบุหรี่แล้วเพราะ']
ดี๋ยวนี้เนื้อที่hotpotอย่างเหนียว,"['ป่ะ', 'อร่อย']"
<mask>ดอยเทพเลยมัวไปหมด,"['ไปเลย', 'คุ้มค่า']"
กี้ไปซื้อลีโอยัง58อยู่จะไป<mask><mask>,"['ไปกันไป', 'ที่ไหนก็ไม่หวั่นห', 'รักเลยค่ะ', 'ชุ่มชื่น', 'สดชื่น', 'อยากกิน', 'มากเลยค่ะ', 'ติดใจ', 'เริ่ด']"
แต่บุหรี่ไม่กลัวแม่ลง<mask><mask>,"['รสชาตินุ่ม', '😘']"
บุไฟบาบีก้อนมี2สาขาเองงะน้อง<mask>จจ,['อยากไป']
บุฟเฟ่ต์ในบาบีก้อน<mask><mask>หย่อยพ.ศ.,['อยากกก']
เบียร์ยูมันหวานจน<mask>อะแฮงค์มากด้วย,"['สู้ทําไม', 'ไปตํา', 'วตื่นเต้น', 'ชอบมาก', 'สะอาด', 'มากกก', 'ชอบ', 'ไปลอง', 'แต่งหน้าติดดีเลย', 'ดีมาก', 'ใช้ง่าย']"
เบียร์ยู<mask>จริงมายเฟรน5<mask>,"['ไม่หมองไม่คล้ํา', 'สวย']"
แบ๊ว<mask>เมื่อคืนตายย้อนแดกเบียร์ช้าง,['อร่อย']
<mask>น.นี่แค่มึงขับมารินะเนี่ย,['อร่อย']
ไปทาน2คน<mask>ยากไร้ทำไงดีคะ,"['จะพาเค้าไป', 'ดีอ่ะ', 'อยากเที่ยว', 'ไปตระเวน', 'อยากไป', 'กับวิวภูเขาไฟ', 'ดีๆๆของเราทั้ง', 'ฟิน', 'นั่งดื่มชิว']"
<mask><mask>สามทุ่มก็ไม่ว่าออกและ,"['ง่าย', 'ที่สุดแห่ง', 'อ่อนโยนต่อผิว']"
พวกคอมเม้นอื่นบอกว่า<mask>วะ,"['ชอบ', 'เค้าจะเนื้อเบา', 'ติดทน', 'เราจะเป็นคราบ', 'กันเหงื่อด้วยแถมยัง', 'ชุ่มชื่น', '❤']"
พี่ท่านจงเร่งหาชุดไทยใส่ไป<mask>😉,"['าเพื่อนไป', 'จัด', '🔥', 'ชอบ', 'ดีใจ', 'ไทยไม่แพ้ชาติ', 'ไปให้สุด']"
<mask>moschinoburberryไม่ว่าแล้ว,['ไม่เหม็น']
<mask>ผ้าอนามัยเหมือนกับเลยต้องฉีดยาคุ,['ต้องจัด']
มันคือ<mask>หนองงง😨ในเจริญอาหารมั้ยล่ะ,"['หล่อ', 'รอยยิ้มและสายตา', 'ไปเลยอ่ะใน', 'ออร่าความผัว', 'พร้อม', 'รักthecr']"
ชื่อวันกินบาบีก้อนน.รู้สึกตัวบวม,"['ว้าว', 'ว้าว', 'ว้าวห่า', 'ว้าว']"
แมงกะพรุนเปลี่ยน<mask>หนักมากในใน,['มากค่ะ']
ไม่ใครแจกลอรีเอะอ่อโซฟีลาย<mask>อ่ะ,"['✌', 'ไปเลยล่ะ']"
<mask>ชัสค่ะ<mask>ค่ะ,"['ชอบ', '❤']"
ม่ดื่มอะไรๆๆของสิงห์มาตั้งแต่นู้น,"['กดในให้กับความ', 'ได้เลยค่ะจริง', 'มาพี่ชาย', 'สีโปรดเลย', 'กินsp', 'หวานอมเปรี้ยวรสชาติ', 'อร่อย', 'ถูกใจ', 'สุดๆ', 'อยากเลยทีเดียว', 'จัดไป', '🎉']"
ิได้รู้สึกอยากกินมือขึ้นแต่อย่างใด,"['อยากกิน', 'อยากกิน', 'อยากกินเหรอครับ', 'อยากกิน']"
<mask>เลยของเดิม<mask>honda,"['มันต้องมี', 'หอมของdi', 'ติดทน', 'ง่าย', '✨']"
<mask>ชื่อในสาขาร่วมโปรนี้พ.ศ.,"['อร่อย', 'ชอบๆๆ']"
โรงแรมค่อนข้างลึก<mask>ถ้าไม่รถ,['หอมไม่อันตราย']
สีเมอาร์เอฟมิดไนท์เล่นกูแล้วไอ้<mask>,"['ชอบ', 'มาเจ้มา', 'ดีตั้งแต่', 'ไปซะ', 'ขอบคุณ', 'ขอบพระคุณบาบิ', 'มันฮาแบบ']"
สาขากำแพงเพชรปิดไปแล้ว<mask>😢,"['อยากไป', 'อยากไป', 'อยากไปแล้ว', 'อยากไป']"
สุขใดเล่าจะเท่าน.เนื้อ<mask>😂,"['สู้จะคิด', 'ๆๆกิน', 'อร่อย']"
<mask>ไปเท่าไหร่แล้วกับค่าผ้าอนามัย,"['ชอบ', 'ละมุน', 'ฟิน']"
หาแตกเลือดเองคะ<mask>5,"['ที่สําคัญเนื้อดี', 'น้ําหอมไม่ใส่เคมี', 'ที่ชอบ', 'สวยมาก', 'สวย', 'เกลี่ยง่าย']"
อร่อยตรงกันของมาวางไว้<mask>ๆๆ,"['กดในให้กับความ', 'ได้เลยค่ะจริง', 'มาพี่ชาย', 'สีโปรดเลย', 'กินsp', 'หวานอมเปรี้ยวรสชาติ', 'อร่อย', 'ถูกใจ', 'สุดๆ', 'อยากเลยทีเดียว', 'จัดไป', '🎉']"
้าวลูกชาย9ขวบดันยาว140ซม.จ่ายเต็ม,"['ปลื้ม', 'พร้อม']"
อร์มาสด้า2เอาอากาศร้อนๆๆที่อยู่อะ,"['าต้องขอบคุณ', 'love', 'สุดคิ้ว', 'เราไปด้', 'สนใจ', '👍', 'สดใส', 'สวยๆ', 'สู้แดด', 'สุดๆ']"
โอ้ยยยโมเดสีไม่ซึมซับเด้อออ<mask>,"['ผิวสวย', 'มากๆๆ', 'เกลี่ยง่าย', 'สวย', 'หน้าไม่มันเมคอัพ', 'ติดทน', 'มันไม่เยิ้ม', 'เหมาะกับวัน', 'บางเบาซึม', 'ไวสบายผิว']"
😍พรุติ้งยาเขียวแต่ไป<mask>อ่ะ😥,"['น้ําจิ้มนุ่ม', 'ไปเมนูที่', 'ไม่พลาด']"
5ค่าชุดไทย<mask>ราคงที่ลดไปอีกก,"['อยากพูดจานี่', 'ชอบ', 'ถูกกว่าที่เรา', 'สะดวก']"
mazdaนี่<mask>ให้แปลกใจไม่หยุดจริง,"['ที่สุด', 'ด้วยความเบาบางเนียน', 'ได้ฟิว', 'ดุดันไม่แอลกอฮอล์', 'รับรองว่าไม่แพ้', 'ดีในราคา', 'ดีงาม', 'ใช้ง่าย', 'อยากดู', 'สะดวก', 'คุ้ม']"
ลับไปกินช้างยังลื่นคอกว่าเยอะคะ🤮,['กลับไปกินช้างว']
กินไก่แมคไปอีกละ<mask>อยากผอมมากมั่ง,"['อยากกิน', 'อยากกิน', 'อยากกิน', 'อยากกินอีก', 'อยากกิน', 'พาไปกิน']"
กินทุกหนจน<mask>ก็เพราะช้างนี่แหละ,['ชอบ']
ุเป็นอีบาบีก้อนแน่นอนทั้งตูดทั้งพุง,"['ถูกใจ', 'อร่อย']"
ี้แตกด้วยมึงกินลีโอเปนงี้ตนล่อดด555,"['ไปด้วย', 'อยากกิน']"
คน<mask>แดกสีเมออฟแล้วมึนกูเอง<mask>,"['ชอบ', 'มาเจ้มา', 'ดีตั้งแต่', 'ไปซะ', 'ขอบคุณ', 'ขอบพระคุณบาบิ', 'มันฮาแบบ']"
คุชั่นอินนิสีฟรีที่นั่งเพียง<mask>,"['ประหยัดน้ํามันราคาเบา', 'เลิศ', 'มากๆๆ', 'ชอบ']"
จ.<mask>โปรกะเค้าทุกทีหลายรอบละ,[]
จะซื้อดีลก็มีแค่2สาขาก้อนเอ้ยลำเอียง,['ลูกค้าจะชอบ']
<mask>กินบ้าบีก้อน2เดือน<mask>หมูทะแทน,['จะกิน']
แจ็คแดเนียลสี่ขวด<mask>แดกหรือเททิ้ง,[]
ชุดพี่หมื่น<mask>ออเจ้าไปได้เลย😅,"['ไปกันไป', 'ที่ไหนก็ไม่หวั่นห', 'รักเลยค่ะ', 'ชุ่มชื่น', 'สดชื่น', 'อยากกิน', 'มากเลยค่ะ', 'ติดใจ', 'เริ่ด']"
<mask>เบียร์ช้างสองแก้วทำกุมึนสาสี,"['ชอบ', '😁']"
ช่ครับอะไหล่hondaเปลี่ยนที่มีร้อง,"['ที่สําคัญค่ะอยาก', 'สวย', 'zzเป็นรถในฝัน', 'สนใจ', 'ดีที่สุด', 'ไปด้หนังที่รัก', 'ป่ะ', 'ที่ชอบ', 'ต้องดู']"
แดกเบียร์ช้างที่เป็น<mask>ตา<mask>ทุกที,"['สู้ๆๆ', 'เป็นอีกที่']"
ดนsmirnoffเข้าเกือบเอาตัวไมครอน,"['ไปตํา', 'กันเถอะ', 'เจ้าคณะผลิตภัณฑ์ดีๆ', '✨', 'าแล้วผิวออร่า', 'เต็มที่ค่ะ', 'หอมจริง', 'แล้วไป', 'ติดทนนาน', '💕']"
อนนี้น้ำสิงห์ครับน.กูนิแดกน้ำก๊อกเลย,['สุดยอด']
ตีกัน<mask>เลยตอนนี้เบียร์285สีเมออฟ,['อร่อยมาก']
ี่อ่านคือภาพอย่างบอึ๋ยของคนกินถ่ายมา,"['ของอร่อยๆ', 'ได้กิน', 'อร่อย', 'ไปเลยค่ะ', '😁', 'มีคุณภาพ', 'ที่น่ารัก', 'มากเลยค่ะ']"
ทรไปคือกดสายทิ้งหมายความว่ายังไงค่ะ,"['คือดี', 'ให้ได้ดันๆๆ']"
นั่นน่ะสิไว้<mask>เยอะ,['เยี่ยม']
นิก<mask>เมื่อไหร่จะออกรุ่นใหม่,"['สุดยอด', 'มากๆๆ']"
