source,target
<ATTRS> อร่อย <CONT_START> โฮกาเด้ในโรซี่สุด <START>,<ATTRS> อร่อย <CONT_START> โฮกาเด้ในโรซี่สุด <START> โฮกาเด้ในโรซี่อร่อยสุด
<ATTRS> ส่ง ไว <CONT_START> ในลาซาด้าเค้าจริง <START>,<ATTRS> ส่ง ไว <CONT_START> ในลาซาด้าเค้าจริง <START> ในลาซาด้าเค้าส่งไวจริง
<ATTRS> กด หัวใจ หน่อยครับ พี่น้อง <CONT_START>  <START>,<ATTRS> กด หัวใจ หน่อยครับ พี่น้อง <CONT_START>  <START> กดหัวใจหน่อยครับพี่น้อง
<ATTRS> ขอบคุณมาก😘 <CONT_START> ก้อนนะฮ้าบบ <START>,<ATTRS> ขอบคุณมาก😘 <CONT_START> ก้อนนะฮ้าบบ <START> ก้อนขอบคุณมากนะฮ้าบบ😘
<ATTRS> ขอบคุณนะ <CONT_START> คร้าบที่ผลักดัน <START>,<ATTRS> ขอบคุณนะ <CONT_START> คร้าบที่ผลักดัน <START> ขอบคุณนะคร้าบที่ผลักดัน
<ATTRS> ▁ขอบคุณ <CONT_START> มะคะตามตั้งนาน <START>,<ATTRS> ▁ขอบคุณ <CONT_START> มะคะตามตั้งนาน <START> ขอบคุณมะคะตามตั้งนาน
<ATTRS> อยากเจอ แท็กซี่ คัน นี้ <CONT_START> แง <START>,<ATTRS> อยากเจอ แท็กซี่ คัน นี้ <CONT_START> แง <START> แงอยากเจอแท็กซี่คันนี้
<ATTRS>  <CONT_START> จาอาวjackdaniel <START>,<ATTRS>  <CONT_START> จาอาวjackdaniel <START> จาอาวjackdaniel
<ATTRS> ▁ชอบ👍 <CONT_START> เลยnissangtr <START>,<ATTRS> ▁ชอบ👍 <CONT_START> เลยnissangtr <START> ชอบเลยnissangtr👍
<ATTRS> ดีงามมาก ต้อง <CONT_START> รามอินทรา <START>,<ATTRS> ดีงามมาก ต้อง <CONT_START> รามอินทรา <START> ดีงามมากต้องรามอินทรา
<ATTRS> มัน ดีนะ <CONT_START> ดื่มแบล็คมันคูลง <START>,<ATTRS> มัน ดีนะ <CONT_START> ดื่มแบล็คมันคูลง <START> ดื่มแบล็คมันคูลงมันดีนะ
<ATTRS> สนับสนุน ค่ะ✌ <CONT_START> ถ้าดีน่า <START>,<ATTRS> สนับสนุน ค่ะ✌ <CONT_START> ถ้าดีน่า <START> ถ้าดีน่าสนับสนุนค่ะ✌
<ATTRS> ถูกกว่า ใด ในโลกคุ้ม <CONT_START> มาก <START>,<ATTRS> ถูกกว่า ใด ในโลกคุ้ม <CONT_START> มาก <START> ถูกกว่าใดในโลกคุ้มมาก
<ATTRS> ▁น่า แดก <CONT_START> อย่าไข่หวาน5 <START>,<ATTRS> ▁น่า แดก <CONT_START> อย่าไข่หวาน5 <START> น่าแดกอย่าไข่หวาน5
<ATTRS> เห็นแล้ว น้ําลาย▁ ปะ <CONT_START> กันเห็นแล้วน้ำลายแตก <START>,<ATTRS> เห็นแล้ว น้ําลาย▁ ปะ <CONT_START> กันเห็นแล้วน้ำลายแตก <START> ปะกันเห็นแล้วน้ำลายแตก
<ATTRS> ▁ ไปพร้อม <CONT_START> ๆๆกะนั้นม้ายา555 <START>,<ATTRS> ▁ ไปพร้อม <CONT_START> ๆๆกะนั้นม้ายา555 <START> ไปๆๆกะนั้นพร้อมม้ายา555
<ATTRS> ▁ ไป <CONT_START> ๆๆแต่สิ้นนี้นะว่าไง <START>,<ATTRS> ▁ ไป <CONT_START> ๆๆแต่สิ้นนี้นะว่าไง <START> ไปๆๆแต่สิ้นนี้นะว่าไง
<ATTRS> ▁ ไป <CONT_START> ค่ะโรง2ร้านสุดท้าย <START>,<ATTRS> ▁ ไป <CONT_START> ค่ะโรง2ร้านสุดท้าย <START> ไปค่ะโรง2ร้านสุดท้าย
<ATTRS> ▁ ไป <CONT_START> ดิรออัลเล่า5 <START>,<ATTRS> ▁ ไป <CONT_START> ดิรออัลเล่า5 <START> ไปดิรออัลเล่า5
<ATTRS> ▁ พร้อม <CONT_START> มากเบิกบานสองทุ่ม <START>,<ATTRS> ▁ พร้อม <CONT_START> มากเบิกบานสองทุ่ม <START> พร้อมมากเบิกบานสองทุ่ม
<ATTRS> จัด <CONT_START> พาเก๊าไปหน่อย <START>,<ATTRS> จัด <CONT_START> พาเก๊าไปหน่อย <START> พาเก๊าไปจัดหน่อย
<ATTRS> ▁ พาไป <CONT_START> ด่วนน่าพี่หมิว <START>,<ATTRS> ▁ พาไป <CONT_START> ด่วนน่าพี่หมิว <START> พาไปด่วนน่าพี่หมิว
<ATTRS> เราจะ ไม่หยุด <CONT_START> ลงแล้วครับ <START>,<ATTRS> เราจะ ไม่หยุด <CONT_START> ลงแล้วครับ <START> ลงแล้วครับเราจะไม่หยุด
<ATTRS>  <CONT_START> สนจัยแคมรี่กับแอคคอด <START>,<ATTRS>  <CONT_START> สนจัยแคมรี่กับแอคคอด <START> สนจัยแคมรี่กับแอคคอด
<ATTRS> 😁 <CONT_START> หลังกลับจากเชียงใหม่ <START>,<ATTRS> 😁 <CONT_START> หลังกลับจากเชียงใหม่ <START> หลังกลับจากเชียงใหม่😁
<ATTRS> หิว เป็ด <CONT_START> ย่างชวลิตชูชัย <START>,<ATTRS> หิว เป็ด <CONT_START> ย่างชวลิตชูชัย <START> หิวเป็ดย่างชวลิตชูชัย
<ATTRS> ▁อยากกิน <CONT_START> ชีสเหมือนกับ5 <START>,<ATTRS> ▁อยากกิน <CONT_START> ชีสเหมือนกับ5 <START> อยากกินชีสเหมือนกับ5
<ATTRS> ▁อยากกิน <CONT_START> น้ำน.สิงห์ไหม <START>,<ATTRS> ▁อยากกิน <CONT_START> น้ำน.สิงห์ไหม <START> อยากกินน้ำน.สิงห์ไหม
<ATTRS> ▁อยากกินา ไปหน่อย <CONT_START> เลยยยพยย <START>,<ATTRS> ▁อยากกินา ไปหน่อย <CONT_START> เลยยยพยย <START> อยากกินเลยยยพาไปหน่อยยย
<ATTRS> ต้องลองสักหน่อย <CONT_START> อย่างนี้ <START>,<ATTRS> ต้องลองสักหน่อย <CONT_START> อย่างนี้ <START> อย่างนี้ต้องลองสักหน่อย
<ATTRS> เอาใจช่วย <CONT_START> อยู่ภูเก็ตครับ <START>,<ATTRS> เอาใจช่วย <CONT_START> อยู่ภูเก็ตครับ <START> อยู่ภูเก็ตเอาใจช่วยครับ
<ATTRS> เยี่ยม <CONT_START> ไฮลักรีโว่จริง <START>,<ATTRS> เยี่ยม <CONT_START> ไฮลักรีโว่จริง <START> ไฮลักรีโว่เยี่ยมจริง
<ATTRS> ก็สวย <CONT_START> ในในแต่งครับแรงด้วย <START>,<ATTRS> ก็สวย <CONT_START> ในในแต่งครับแรงด้วย <START> ในในแต่งก็สวยครับแรงด้วย
<ATTRS> ชอบ😁 <CONT_START> กุเบียร์ช้าง... <START>,<ATTRS> ชอบ😁 <CONT_START> กุเบียร์ช้าง... <START> กุชอบเบียร์ช้าง...😁
<ATTRS> ผ่านไป ได้ <CONT_START> ให้ด้วยครับ <START>,<ATTRS> ผ่านไป ได้ <CONT_START> ให้ด้วยครับ <START> ให้ผ่านไปได้ด้วยครับ
<ATTRS> ดี อะ <CONT_START> คริสต์มาสสีโนวงคือ <START>,<ATTRS> ดี อะ <CONT_START> คริสต์มาสสีโนวงคือ <START> คริสต์มาสสีโนวงคือดีอะ
<ATTRS> ชอบ <CONT_START> เค้าคอสีลุคฮะปิดกว่า <START>,<ATTRS> ชอบ <CONT_START> เค้าคอสีลุคฮะปิดกว่า <START> เค้าชอบคอสีลุคฮะปิดกว่า
<ATTRS> ▁ชอบติดทนนาน <CONT_START> ๆๆหน้าเนียนใส <START>,<ATTRS> ▁ชอบติดทนนาน <CONT_START> ๆๆหน้าเนียนใส <START> ชอบๆๆติดทนนานหน้าเนียนใส
<ATTRS> เอา ด้วย <CONT_START> ดันน.ๆๆครับน. <START>,<ATTRS> เอา ด้วย <CONT_START> ดันน.ๆๆครับน. <START> ดันน.ๆๆครับน.เอาด้วย
<ATTRS> จัด <CONT_START> เดี๋ยวว่างๆๆไปเยอะๆๆๆ <START>,<ATTRS> จัด <CONT_START> เดี๋ยวว่างๆๆไปเยอะๆๆๆ <START> เดี๋ยวว่างๆๆไปจัดเยอะๆๆๆ
<ATTRS> น่ารักมาก😍 <CONT_START> น้องเลยค่ะ <START>,<ATTRS> น่ารักมาก😍 <CONT_START> น้องเลยค่ะ <START> น้องน่ารักมากเลยค่ะ😍
<ATTRS> น้ําไหล แรง ดี <CONT_START> น้ำไหลแรงดีมีน้ำอ่อนให้ <START>,<ATTRS> น้ําไหล แรง ดี <CONT_START> น้ำไหลแรงดีมีน้ำอ่อนให้ <START> น้ำไหลแรงดีมีน้ำอ่อนให้
<ATTRS> ที่ประชาชน ต้องการ <CONT_START> นี่ล่ะ <START>,<ATTRS> ที่ประชาชน ต้องการ <CONT_START> นี่ล่ะ <START> นี่ล่ะที่ประชาชนต้องการ
<ATTRS> ▁ ป่ะ <CONT_START> มะต้องรอวันพุธและใน <START>,<ATTRS> ▁ ป่ะ <CONT_START> มะต้องรอวันพุธและใน <START> ป่ะมะต้องรอวันพุธและใน
<ATTRS> ไปกิน บา บี ก้อน กัน <CONT_START> มั้ยล่ะใน <START>,<ATTRS> ไปกิน บา บี ก้อน กัน <CONT_START> มั้ยล่ะใน <START> ไปกินบาบีก้อนกันมั้ยล่ะใน
<ATTRS> ▁ ไปกันเถอะพรุ่งนี้ <CONT_START> วันนี้ <START>,<ATTRS> ▁ ไปกันเถอะพรุ่งนี้ <CONT_START> วันนี้ <START> ไปวันนี้กันเถอะพรุ่งนี้
<ATTRS> ▁ พร้อมรอ กิน <CONT_START> !!!นอนเก็บแรง <START>,<ATTRS> ▁ พร้อมรอ กิน <CONT_START> !!!นอนเก็บแรง <START> พร้อม!!!นอนเก็บแรงรอกิน
<ATTRS> ▁ พาไปกิน หน่อย <CONT_START> น้าปั๋ววว <START>,<ATTRS> ▁ พาไปกิน หน่อย <CONT_START> น้าปั๋ววว <START> พาไปกินหน่อยน้าปั๋ววว
<ATTRS> า ไปหน่อย😁 <CONT_START> พี่อยากลองพ <START>,<ATTRS> า ไปหน่อย😁 <CONT_START> พี่อยากลองพ <START> พี่อยากลองพาไปหน่อย😁
<ATTRS> อยากกินมา สัก ที่ <CONT_START> เพื่อนอะ <START>,<ATTRS> อยากกินมา สัก ที่ <CONT_START> เพื่อนอะ <START> เพื่อนอยากกินอะมาสักที่
<ATTRS> ชอบ <CONT_START> เมนูฮิตที่ในทุกหนครับ <START>,<ATTRS> ชอบ <CONT_START> เมนูฮิตที่ในทุกหนครับ <START> เมนูฮิตที่ในทุกหนชอบครับ
<ATTRS> อยากกิน <CONT_START> ลูก🤣👼🏻👼🏻👼🏻 <START>,<ATTRS> อยากกิน <CONT_START> ลูก🤣👼🏻👼🏻👼🏻 <START> ลูกอยากกิน🤣👼🏻👼🏻👼🏻
<ATTRS>  <CONT_START> เลิกม้วนได้เพราะไฟฟ้าเลย <START>,<ATTRS>  <CONT_START> เลิกม้วนได้เพราะไฟฟ้าเลย <START> เลิกม้วนได้เพราะไฟฟ้าเลย
"<ATTRS> 10 สีสวย <CONT_START> สั่งแล้วค่า05, <START>","<ATTRS> 10 สีสวย <CONT_START> สั่งแล้วค่า05, <START> สั่งแล้วค่า05,10สีสวย"
<ATTRS> สู้ๆๆมันต้องมี <CONT_START> ครับฉันนั้น <START>,<ATTRS> สู้ๆๆมันต้องมี <CONT_START> ครับฉันนั้น <START> สู้ๆๆครับมันต้องมีฉันนั้น
<ATTRS> กําลังใจสู้ๆๆ <CONT_START> คับเป็นกำลังใจให้คับ <START>,<ATTRS> กําลังใจสู้ๆๆ <CONT_START> คับเป็นกำลังใจให้คับ <START> สู้ๆๆคับเป็นกำลังใจให้คับ
<ATTRS> สู้ๆๆเอาใจช่วย <CONT_START> นะครับครับ <START>,<ATTRS> สู้ๆๆเอาใจช่วย <CONT_START> นะครับครับ <START> สู้ๆๆนะครับเอาใจช่วยครับ
<ATTRS> อร่อยฟิน <CONT_START> หมี่หยกก็แสนยาน์ <START>,<ATTRS> อร่อยฟิน <CONT_START> หมี่หยกก็แสนยาน์ <START> หมี่หยกก็แสนอร่อยยาฟินน์
<ATTRS> ▁อยากกิน <CONT_START> ในด้วยวันนี้อะ <START>,<ATTRS> ▁อยากกิน <CONT_START> ในด้วยวันนี้อะ <START> อยากกินในด้วยวันนี้อะ
<ATTRS> ▁อยากกิน <CONT_START> บาบีก้อนคัดเซตหมู <START>,<ATTRS> ▁อยากกิน <CONT_START> บาบีก้อนคัดเซตหมู <START> อยากกินบาบีก้อนคัดเซตหมู
<ATTRS> ▁อยากกิน <CONT_START> บาบีก้อนหรอ5 <START>,<ATTRS> ▁อยากกิน <CONT_START> บาบีก้อนหรอ5 <START> อยากกินบาบีก้อนหรอ5
<ATTRS> ▁อยากกิน <CONT_START> ฮอตพอตนจีนเด้อ <START>,<ATTRS> ▁อยากกิน <CONT_START> ฮอตพอตนจีนเด้อ <START> อยากกินฮอตพอตนจีนเด้อ
<ATTRS> ▁อยาก <CONT_START> โดนชีส <START>,<ATTRS> ▁อยาก <CONT_START> โดนชีส <START> อยากโดนชีส
<ATTRS> ▁อยากไป <CONT_START> กินจุเบยหาแนวร่วม <START>,<ATTRS> ▁อยากไป <CONT_START> กินจุเบยหาแนวร่วม <START> อยากไปกินจุเบยหาแนวร่วม
<ATTRS> อยากกิน <CONT_START> อาหมีรอบเช้าอ่ะ <START>,<ATTRS> อยากกิน <CONT_START> อาหมีรอบเช้าอ่ะ <START> อาหมีรอบเช้าอยากกินอ่ะ
<ATTRS> เอ็ม เค กันนะ <CONT_START>  <START>,<ATTRS> เอ็ม เค กันนะ <CONT_START>  <START> เอ็มเคกันนะ
<ATTRS> รถ ดีนะ <CONT_START> teanaผมเคยใช้ใน32 <START>,<ATTRS> รถ ดีนะ <CONT_START> teanaผมเคยใช้ใน32 <START> teanaรถดีนะผมเคยใช้ใน32
<ATTRS> มา มาขอบคุน <CONT_START> ค่ะไซวานค่ะคร้า <START>,<ATTRS> มา มาขอบคุน <CONT_START> ค่ะไซวานค่ะคร้า <START> ค่ะไซมามาวานค่ะขอบคุนคร้า
<ATTRS> สะอาด <CONT_START> เงียบกว้างส่วนตัว <START>,<ATTRS> สะอาด <CONT_START> เงียบกว้างส่วนตัว <START> เงียบกว้างสะอาดส่วนตัว
<ATTRS> ก็ต่อเมื่อ กิน เอ็ม เค <CONT_START> จะโอ๊ค <START>,<ATTRS> ก็ต่อเมื่อ กิน เอ็ม เค <CONT_START> จะโอ๊ค <START> จะโอ๊คก็ต่อเมื่อกินเอ็มเค
<ATTRS> ใน ของเค้า ดี จิง <CONT_START> ดีแม็คจิง <START>,<ATTRS> ใน ของเค้า ดี จิง <CONT_START> ดีแม็คจิง <START> ดีแม็คจิงในของเค้าดีจิง
<ATTRS> ดี เรย ที่รัก <CONT_START> ขอเป็ดด้วยน่ะ <START>,<ATTRS> ดี เรย ที่รัก <CONT_START> ขอเป็ดด้วยน่ะ <START> ดีเรยที่รักขอเป็ดด้วยน่ะ
<ATTRS> ทิน จะ ไปกิน <CONT_START> เดือนไหนแจกปิ <START>,<ATTRS> ทิน จะ ไปกิน <CONT_START> เดือนไหนแจกปิ <START> เดือนไหนแจกปิทินจะไปกิน
<ATTRS> อร่อย <CONT_START> ไดซาชิเถอะกว่าจี <START>,<ATTRS> อร่อย <CONT_START> ไดซาชิเถอะกว่าจี <START> ไดซาชิเถอะอร่อยกว่าจี
<ATTRS> ขอบคุณ <CONT_START> ได้แล้วค่ะจะร้าใน <START>,<ATTRS> ขอบคุณ <CONT_START> ได้แล้วค่ะจะร้าใน <START> ได้แล้วค่ะขอบคุณจะร้าใน
<ATTRS> ยินดี <CONT_START> ได้เลยครับผมให้ครับ <START>,<ATTRS> ยินดี <CONT_START> ได้เลยครับผมให้ครับ <START> ได้เลยครับผมยินดีให้ครับ
<ATTRS>  <CONT_START> ถ้าบุเฟ่ก็ต้องไปบาบิก้อน <START>,<ATTRS>  <CONT_START> ถ้าบุเฟ่ก็ต้องไปบาบิก้อน <START> ถ้าบุเฟ่ก็ต้องไปบาบิก้อน
<ATTRS> ต้องจัดชอบ <CONT_START> แค่นี้ชีส <START>,<ATTRS> ต้องจัดชอบ <CONT_START> แค่นี้ชีส <START> แค่นี้ต้องจัดชอบชีส
<ATTRS> ไปกัน <CONT_START> เรามันสาวกพี่ก้อนนน <START>,<ATTRS> ไปกัน <CONT_START> เรามันสาวกพี่ก้อนนน <START> ไปกันเรามันสาวกพี่ก้อนนน
<ATTRS> ▁ ไปกิน <CONT_START> ขนมฉันนั้นกัน5 <START>,<ATTRS> ▁ ไปกิน <CONT_START> ขนมฉันนั้นกัน5 <START> ไปกินขนมฉันนั้นกัน5
<ATTRS> ▁พรุ่งนี้พาไปกิน หน่อย <CONT_START> น้ามา <START>,<ATTRS> ▁พรุ่งนี้พาไปกิน หน่อย <CONT_START> น้ามา <START> พรุ่งนี้พาไปกินหน่อยน้ามา
<ATTRS> 😍 <CONT_START> เมนูใหม่มาแล้ว <START>,<ATTRS> 😍 <CONT_START> เมนูใหม่มาแล้ว <START> เมนูใหม่มาแล้ว😍
<ATTRS> สวยมากๆ <CONT_START> รถchrโตโยต้าๆครับ <START>,<ATTRS> สวยมากๆ <CONT_START> รถchrโตโยต้าๆครับ <START> รถchrโตโยต้าสวยมากๆๆครับ
<ATTRS> อร่อยชอบ ๆๆ <CONT_START> ลองแล้วรสนี้พ.ศ. <START>,<ATTRS> อร่อยชอบ ๆๆ <CONT_START> ลองแล้วรสนี้พ.ศ. <START> ลองแล้วรสนี้อร่อยพ.ศ.ชอบๆๆ
<ATTRS> ไปกิน บา บี ก้อน กัน <CONT_START> ว่างมั้ย <START>,<ATTRS> ไปกิน บา บี ก้อน กัน <CONT_START> ว่างมั้ย <START> ว่างมั้ยไปกินบาบีก้อนกัน
<ATTRS>  <CONT_START> หลับสบายแบบใหม่ต้องนี่เลย <START>,<ATTRS>  <CONT_START> หลับสบายแบบใหม่ต้องนี่เลย <START> หลับสบายแบบใหม่ต้องนี่เลย
<ATTRS> อร่อย <CONT_START> ฉากใหญ่ก็เบียร์จ๊ะ <START>,<ATTRS> อร่อย <CONT_START> ฉากใหญ่ก็เบียร์จ๊ะ <START> ฉากใหญ่ก็เบียร์อร่อยจ๊ะ
<ATTRS> ▁อยากกิน <CONT_START> ช้างขึ้นมาทันทีเลย <START>,<ATTRS> ▁อยากกิน <CONT_START> ช้างขึ้นมาทันทีเลย <START> อยากกินช้างขึ้นมาทันทีเลย
<ATTRS> ▁อยากกิน <CONT_START> นมสตรออัญชันอ่ะ <START>,<ATTRS> ▁อยากกิน <CONT_START> นมสตรออัญชันอ่ะ <START> อยากกินนมสตรออัญชันอ่ะ
<ATTRS> ▁อยากกิน <CONT_START> ลีโอเว้ย5 <START>,<ATTRS> ▁อยากกิน <CONT_START> ลีโอเว้ย5 <START> อยากกินลีโอเว้ย5
<ATTRS> ▁อยากกิน😍 <CONT_START> เลี้ยงหน่อยค่ะ😌 <START>,<ATTRS> ▁อยากกิน😍 <CONT_START> เลี้ยงหน่อยค่ะ😌 <START> อยากกินเลี้ยงหน่อยค่ะ😌😍
<ATTRS> ▁อยากกินซะ ใจ <CONT_START> อีกยังไม่ <START>,<ATTRS> ▁อยากกินซะ ใจ <CONT_START> อีกยังไม่ <START> อยากกินอีกยังไม่ซะใจ
<ATTRS> ▁อยากกิน <CONT_START> ไอติมรสช้าฃารสลีโอ <START>,<ATTRS> ▁อยากกิน <CONT_START> ไอติมรสช้าฃารสลีโอ <START> อยากกินไอติมรสช้าฃารสลีโอ
<ATTRS> 😂 ไปกิน <CONT_START> ไอบ้าฮอตพอทำกันนน <START>,<ATTRS> 😂 ไปกิน <CONT_START> ไอบ้าฮอตพอทำกันนน <START> ไอบ้า😂ไปกินฮอตพอทำกันนน
<ATTRS> คุ้มจัด ๆๆ <CONT_START> ในกินเปนชุดกว่าเยอะ <START>,<ATTRS> คุ้มจัด ๆๆ <CONT_START> ในกินเปนชุดกว่าเยอะ <START> ในกินเปนชุดคุ้มกว่าเยอะจัดๆๆ
<ATTRS> ชอบ <CONT_START> ในในในในในparisเหมือนกับ <START>,<ATTRS> ชอบ <CONT_START> ในในในในในparisเหมือนกับ <START> ในในในในในparisชอบเหมือนกับ
<ATTRS> ๆๆ หวานๆหอม เนื้อ <CONT_START> ขาวๆๆแดงๆปู <START>,<ATTRS> ๆๆ หวานๆหอม เนื้อ <CONT_START> ขาวๆๆแดงๆปู <START> ขาวๆๆแดงๆๆหวานๆๆหอมเนื้อปู
<ATTRS>  <CONT_START> คิดไม่ผิดน.ที่เลือกน.รีโว่ <START>,<ATTRS>  <CONT_START> คิดไม่ผิดน.ที่เลือกน.รีโว่ <START> คิดไม่ผิดน.ที่เลือกน.รีโว่
<ATTRS> คุ้มและ อิ่ม ท้องอร่อยมาก <CONT_START> ๆๆคะ <START>,<ATTRS> คุ้มและ อิ่ม ท้องอร่อยมาก <CONT_START> ๆๆคะ <START> คุ้มและอิ่มท้องอร่อยมากๆๆคะ
<ATTRS> ไปกิน ยุ <CONT_START> จ้ายังไงก็จะยังน่ะ <START>,<ATTRS> ไปกิน ยุ <CONT_START> จ้ายังไงก็จะยังน่ะ <START> จ้ายังไงก็จะยังไปกินยุน่ะ
<ATTRS> ▁ชอบเมื่อไร ได้กิน <CONT_START> แบบธรรมดา <START>,<ATTRS> ▁ชอบเมื่อไร ได้กิน <CONT_START> แบบธรรมดา <START> ชอบแบบธรรมดาเมื่อไรได้กิน
<ATTRS> สุดยอด <CONT_START> น.เหล่านี้isuzuครับ <START>,<ATTRS> สุดยอด <CONT_START> น.เหล่านี้isuzuครับ <START> น.เหล่านี้isuzuสุดยอดครับ
<ATTRS>  <CONT_START> นุ่มลุ่มลึกกูบอกได้แค่นี้ <START>,<ATTRS>  <CONT_START> นุ่มลุ่มลึกกูบอกได้แค่นี้ <START> นุ่มลุ่มลึกกูบอกได้แค่นี้
<ATTRS> ได้ คําเดียว ว่าอร่อยมาก <CONT_START> บอกได้คำเดียวว่าน. <START>,<ATTRS> ได้ คําเดียว ว่าอร่อยมาก <CONT_START> บอกได้คำเดียวว่าน. <START> บอกได้คำเดียวว่าน.อร่อยมาก
<ATTRS>  <CONT_START> บุเฟ่ปิ้งย่างบาบีก้อนนน <START>,<ATTRS>  <CONT_START> บุเฟ่ปิ้งย่างบาบีก้อนนน <START> บุเฟ่ปิ้งย่างบาบีก้อนนน
<ATTRS> มีความสุข <CONT_START> เบียร์ช้างกินแล้ว <START>,<ATTRS> มีความสุข <CONT_START> เบียร์ช้างกินแล้ว <START> เบียร์ช้างกินแล้วมีความสุข
<ATTRS> ▁ ปะพาไป กิน <CONT_START> เดี๋ยวอาทิตย์นี้ <START>,<ATTRS> ▁ ปะพาไป กิน <CONT_START> เดี๋ยวอาทิตย์นี้ <START> ปะเดี๋ยวอาทิตย์นี้พาไปกิน
<ATTRS> ▁ ไป <CONT_START> กีดกันมะหลังเบิกบานชิว <START>,<ATTRS> ▁ ไป <CONT_START> กีดกันมะหลังเบิกบานชิว <START> ไปกีดกันมะหลังเบิกบานชิว
<ATTRS> ▁ ไปด้วยอยากกิน <CONT_START> 555บาบีก้อน <START>,<ATTRS> ▁ ไปด้วยอยากกิน <CONT_START> 555บาบีก้อน <START> ไปด้วย555อยากกินบาบีก้อน
<ATTRS> ไปกัน▁ ไป <CONT_START> วันเสาร์กันนัดอุ๋มแล้ว <START>,<ATTRS> ไปกัน▁ ไป <CONT_START> วันเสาร์กันนัดอุ๋มแล้ว <START> ไปวันเสาร์ไปกันนัดอุ๋มแล้ว
<ATTRS> ▁พรุ่งนี้ไปอีก กิน <CONT_START> เลี้ยงแผนก <START>,<ATTRS> ▁พรุ่งนี้ไปอีก กิน <CONT_START> เลี้ยงแผนก <START> พรุ่งนี้ไปอีกกินเลี้ยงแผนก
<ATTRS> อะ ไปกินเอม เค กัน <CONT_START> พอๆๆกะมึงไหม <START>,<ATTRS> อะ ไปกินเอม เค กัน <CONT_START> พอๆๆกะมึงไหม <START> พอๆๆกะมึงอะไปกินเอมเคกันไหม
<ATTRS> อร่อย <CONT_START> มันขมไปพานาคอตต้าสุด <START>,<ATTRS> อร่อย <CONT_START> มันขมไปพานาคอตต้าสุด <START> มันขมไปพานาคอตต้าอร่อยสุด
<ATTRS> เต็มที่ ครับ <CONT_START> ร่วมผลักดันด้วย <START>,<ATTRS> เต็มที่ ครับ <CONT_START> ร่วมผลักดันด้วย <START> ร่วมผลักดันด้วยเต็มที่ครับ
<ATTRS> ▁วันนี้ เลยปะ😁 <CONT_START> ล่ะน.เลิก5โมง <START>,<ATTRS> ▁วันนี้ เลยปะ😁 <CONT_START> ล่ะน.เลิก5โมง <START> วันนี้เลยปะล่ะน.เลิก5โมง😁
<ATTRS> ▁ว้าว <CONT_START> ๆๆห่ากินทั้งสามรสเลยอะ <START>,<ATTRS> ▁ว้าว <CONT_START> ๆๆห่ากินทั้งสามรสเลยอะ <START> ว้าวๆๆห่ากินทั้งสามรสเลยอะ
<ATTRS> สวยจัง <CONT_START> โบราณแบบmodern5 <START>,<ATTRS> สวยจัง <CONT_START> โบราณแบบmodern5 <START> สวยจังโบราณแบบmodern5
<ATTRS> กําลังใจสู้ๆๆ <CONT_START> ครับเป็นกำลังใจไห้ครับ <START>,<ATTRS> กําลังใจสู้ๆๆ <CONT_START> ครับเป็นกำลังใจไห้ครับ <START> สู้ๆๆครับเป็นกำลังใจไห้ครับ
<ATTRS> รัก รี โว่ <CONT_START> เสียงหนิงมาก.น.มาก <START>,<ATTRS> รัก รี โว่ <CONT_START> เสียงหนิงมาก.น.มาก <START> เสียงหนิงมาก.น.รักรีโว่มาก
<ATTRS> อยากกิน <CONT_START> อดไรอ่ะบาบีก้อน😔 <START>,<ATTRS> อยากกิน <CONT_START> อดไรอ่ะบาบีก้อน😔 <START> อดไรอ่ะอยากกินบาบีก้อน😔
<ATTRS> ▁อยากกิน <CONT_START> แสงสีแท้คือสิเมาดี <START>,<ATTRS> ▁อยากกิน <CONT_START> แสงสีแท้คือสิเมาดี <START> อยากกินแสงสีแท้คือสิเมาดี
<ATTRS> ▁อยากกินต้องไป โดน <CONT_START> อยู่วันนี้ <START>,<ATTRS> ▁อยากกินต้องไป โดน <CONT_START> อยู่วันนี้ <START> อยากกินอยู่วันนี้ต้องไปโดน
<ATTRS> ▁อยากกิน <CONT_START> อ่ะ😭🤤 <START>,<ATTRS> ▁อยากกิน <CONT_START> อ่ะ😭🤤 <START> อยากกินอ่ะ😭🤤
<ATTRS> ▁อยากกิน <CONT_START> ฮอตพอตนวันพุธลด20ใน <START>,<ATTRS> ▁อยากกิน <CONT_START> ฮอตพอตนวันพุธลด20ใน <START> อยากกินฮอตพอตนวันพุธลด20ใน
<ATTRS> ▁อยาก <CONT_START> แดกใอ่สัส!!งงพ่อลงอ่า <START>,<ATTRS> ▁อยาก <CONT_START> แดกใอ่สัส!!งงพ่อลงอ่า <START> อยากแดกใอ่สัส!!งงพ่อลงอ่า
<ATTRS> ▁อยากไป <CONT_START> ไมอามี่ขึ้นมาทันที <START>,<ATTRS> ▁อยากไป <CONT_START> ไมอามี่ขึ้นมาทันที <START> อยากไปไมอามี่ขึ้นมาทันที
<ATTRS> ▁อยาก <CONT_START> สุพรรณมีเตาย่างบ้างจัง <START>,<ATTRS> ▁อยาก <CONT_START> สุพรรณมีเตาย่างบ้างจัง <START> อยากสุพรรณมีเตาย่างบ้างจัง
