source,target
<ATTRS> วุ่นวาย <CONT_START> เหมือนเดิมประเทศไทย เพิ่มเติมคือกว่าเดิม พัฒนายังไงให้กว่าเดิม งงค่ะ! <START>,<ATTRS> วุ่นวาย <CONT_START> เหมือนเดิมประเทศไทย เพิ่มเติมคือกว่าเดิม พัฒนายังไงให้กว่าเดิม งงค่ะ! <START> วุ่นวายเหมือนเดิมประเทศไทย เพิ่มเติมคือกว่าเดิม พัฒนายังไงให้วุ่นวายกว่าเดิม งงค่ะ!
<ATTRS> ▁รู้สึก ท้อแท้ <CONT_START> กับชีวิตมากอะ 😭 <START>,<ATTRS> ▁รู้สึก ท้อแท้ <CONT_START> กับชีวิตมากอะ 😭 <START> รู้สึกท้อแท้กับชีวิตมากอะ 😭
<ATTRS> สื่อ ▁มึง งาม หน้าขอโทษ ผู้บริโภคไม่คิดจะ <CONT_START> รู้มั้ย กูอยากเห็นอะไร อยากเห็นผู้ใหญ่ในทปอ.ก้มหัวแสดงความรับผิดชอบต่อหน้าสื่อ มึงงามหน้าขนาดนี้พูดลอยๆมาแค่ขอโทษเบาๆแล้วเปลี่ยนเรื่อง ที่ญป แค่ไอติมเขาจะปรับขึ้นราคามาเยนนึงผู้บริหารทั้งบอร์ดยังมาก้มหัวหน้าตึก นี่กับเด็กม.6 เป็นแสน รับผิดชอบหน่อยหรอ <START>,<ATTRS> สื่อ ▁มึง งาม หน้าขอโทษ ผู้บริโภคไม่คิดจะ <CONT_START> รู้มั้ย กูอยากเห็นอะไร อยากเห็นผู้ใหญ่ในทปอ.ก้มหัวแสดงความรับผิดชอบต่อหน้าสื่อ มึงงามหน้าขนาดนี้พูดลอยๆมาแค่ขอโทษเบาๆแล้วเปลี่ยนเรื่อง ที่ญป แค่ไอติมเขาจะปรับขึ้นราคามาเยนนึงผู้บริหารทั้งบอร์ดยังมาก้มหัวหน้าตึก นี่กับเด็กม.6 เป็นแสน รับผิดชอบหน่อยหรอ <START> รู้มั้ย กูอยากเห็นอะไร อยากเห็นผู้ใหญ่ในทปอ.ก้มหัวแสดงความรับผิดชอบต่อหน้าสื่อ มึงงามหน้าขนาดนี้พูดลอยๆมาแค่ขอโทษเบาๆแล้วเปลี่ยนเรื่อง ที่ญป แค่ไอติมเขาจะปรับขึ้นราคามาเยนนึงผู้บริหารทั้งบอร์ดยังมาก้มหัวหน้าตึกขอโทษผู้บริโภค นี่กับเด็กม.6 เป็นแสน ไม่คิดจะรับผิดชอบหน่อยหรอ
<ATTRS> เหี้ยไรโง่แม่งเบื่อ <CONT_START> มึงเมื่อไหร่เราจะได้นายกคนใหม่ ทนเห็นแบบนี้โคตรทำรายจิตใจกับความของเลยมาก <START>,<ATTRS> เหี้ยไรโง่แม่งเบื่อ <CONT_START> มึงเมื่อไหร่เราจะได้นายกคนใหม่ ทนเห็นแบบนี้โคตรทำรายจิตใจกับความของเลยมาก <START> มึงเมื่อไหร่เราจะได้นายกคนใหม่ ทนเห็นเหี้ยไรแบบนี้โคตรทำรายจิตใจกับความโง่ของแม่งเลยเบื่อมาก
<ATTRS> ไม่ชอบเครียดมาก <CONT_START> มีใครโดนบังคับให้เรียนอันที่เราบ้าง เรา ยิ่งถ้ารอบนี้เราไม่ติดคณะที่เราเลือกเราต้องได้ไปเรียนอันที่ครอบครัวอยากให้เรียนอ่ะ😭 <START>,<ATTRS> ไม่ชอบเครียดมาก <CONT_START> มีใครโดนบังคับให้เรียนอันที่เราบ้าง เรา ยิ่งถ้ารอบนี้เราไม่ติดคณะที่เราเลือกเราต้องได้ไปเรียนอันที่ครอบครัวอยากให้เรียนอ่ะ😭 <START> มีใครโดนบังคับให้เรียนอันที่เราไม่ชอบบ้าง เราเครียดมาก ยิ่งถ้ารอบนี้เราไม่ติดคณะที่เราเลือกเราต้องได้ไปเรียนอันที่ครอบครัวอยากให้เรียนอ่ะ😭
<ATTRS> ไกล <CONT_START> มีชื่อสัมคณะที่ชอบแล้ววว แต่ม.ที่ติดบ้านมากเลยกลัวแม่ไม่ให้ไป 😭 <START>,<ATTRS> ไกล <CONT_START> มีชื่อสัมคณะที่ชอบแล้ววว แต่ม.ที่ติดบ้านมากเลยกลัวแม่ไม่ให้ไป 😭 <START> มีชื่อสัมคณะที่ชอบแล้ววว แต่ม.ที่ติดไกลบ้านมากเลยกลัวแม่ไม่ให้ไป 😭
<ATTRS> อหเสือก <CONT_START> ประสาทแดกหมดแล้ว ถามกันอยู่ได้เรียนไหน #หหห ยังไม่มีที่เรียนเว้ยยย #ขี้ <START>,<ATTRS> อหเสือก <CONT_START> ประสาทแดกหมดแล้ว ถามกันอยู่ได้เรียนไหน #หหห ยังไม่มีที่เรียนเว้ยยย #ขี้ <START> ประสาทแดกหมดแล้ว ถามกันอยู่ได้เรียนไหน #อหหหห ยังไม่มีที่เรียนเว้ยยย #ขี้เสือก
<ATTRS>  <CONT_START> ประกาศเร็วกว่านี้หน่อยไม่ได้หรอ เด็กฟุ้งซ่านไปหมดแล้วโว้ย <START>,<ATTRS>  <CONT_START> ประกาศเร็วกว่านี้หน่อยไม่ได้หรอ เด็กฟุ้งซ่านไปหมดแล้วโว้ย <START> ประกาศเร็วกว่านี้หน่อยไม่ได้หรอ เด็กฟุ้งซ่านไปหมดแล้วโว้ย
<ATTRS> คะแนน ใหม่ ▁คือ เครียดเหี้ยไร้ อนาคตท้อ <CONT_START> บอกเลยว่า มาก =..= รู้สึกมากตอนคะแนนออก รู้สึกมากด้วย สอบก็มีรอบเดียว คะแนนก็กลัวจะยื่นที่ไหนไม่ได่เพราะไม่รู้เกณฑ์คะแนนใหม่ คือเครียดมาหลายเดือนมาก ลดรอบการวิ่งสอบก็จริงแต่กูเครียดหนักกว่าเดิมมมมม <START>,<ATTRS> คะแนน ใหม่ ▁คือ เครียดเหี้ยไร้ อนาคตท้อ <CONT_START> บอกเลยว่า มาก =..= รู้สึกมากตอนคะแนนออก รู้สึกมากด้วย สอบก็มีรอบเดียว คะแนนก็กลัวจะยื่นที่ไหนไม่ได่เพราะไม่รู้เกณฑ์คะแนนใหม่ คือเครียดมาหลายเดือนมาก ลดรอบการวิ่งสอบก็จริงแต่กูเครียดหนักกว่าเดิมมมมม <START> บอกเลยว่า เหี้ยมาก =..= รู้สึกไร้อนาคตมากตอนคะแนนออก รู้สึกท้อมากด้วย สอบก็มีรอบเดียว คะแนนก็กลัวจะยื่นที่ไหนไม่ได่เพราะไม่รู้เกณฑ์คะแนนใหม่ คือเครียดมาหลายเดือนมาก ลดรอบการวิ่งสอบก็จริงแต่กูเครียดหนักกว่าเดิมมมมม
<ATTRS> -_- ▁ ตัด <CONT_START> น้องข้างบ้านบอกต้องรีบไปรีดผ้าพรุ่งนี้ไปโรงเรียน เอิ่ม -_- ตัดภาพมาที่กู นี่กูต้องใช้ชีวิตแบบเหมือนวิณญาณเรร่อนขนาดนี้เลย สงสารตัวเอง 😂😂😂 <START>,<ATTRS> -_- ▁ ตัด <CONT_START> น้องข้างบ้านบอกต้องรีบไปรีดผ้าพรุ่งนี้ไปโรงเรียน เอิ่ม -_- ตัดภาพมาที่กู นี่กูต้องใช้ชีวิตแบบเหมือนวิณญาณเรร่อนขนาดนี้เลย สงสารตัวเอง 😂😂😂 <START> น้องข้างบ้านบอกต้องรีบไปรีดผ้าพรุ่งนี้ไปโรงเรียน เอิ่ม -_- ตัดภาพมาที่กู นี่กูต้องใช้ชีวิตแบบเหมือนวิณญาณเรร่อนขนาดนี้เลย สงสารตัวเอง 😂😂😂
<ATTRS> น่าเบื่อ <CONT_START> นะ นอนยุบ้านเฉยๆเนี่ย นอนรอที่เรียน นอนรอมหาลัยเปิด นอนรอไรก็ไม่รู้ ไม่รู้ว่าจะติดไม่ติดด้วยซ้ำ ได้แต่รออ่ะ งานก็ไม่มีทำ เงินก็ไม่มีเที่ยว ไปไหนก็ไม่ได้ 😭😭😭😭 <START>,<ATTRS> น่าเบื่อ <CONT_START> นะ นอนยุบ้านเฉยๆเนี่ย นอนรอที่เรียน นอนรอมหาลัยเปิด นอนรอไรก็ไม่รู้ ไม่รู้ว่าจะติดไม่ติดด้วยซ้ำ ได้แต่รออ่ะ งานก็ไม่มีทำ เงินก็ไม่มีเที่ยว ไปไหนก็ไม่ได้ 😭😭😭😭 <START> น่าเบื่อนะ นอนยุบ้านเฉยๆเนี่ย นอนรอที่เรียน นอนรอมหาลัยเปิด นอนรอไรก็ไม่รู้ ไม่รู้ว่าจะติดไม่ติดด้วยซ้ำ ได้แต่รออ่ะ งานก็ไม่มีทำ เงินก็ไม่มีเที่ยว ไปไหนก็ไม่ได้ 😭😭😭😭
<ATTRS> รําคาญสัส <CONT_START> นี่คือรำคาญครูเเนะเเนวที่รร.มากเร่งเร้าจะเอารายชื่อมหาลัยอยู่ได้ คือมันสำคัญมากเลยหรอ บ้าบอออ มาเป็นกูดูมั้ย กดดัน <START>,<ATTRS> รําคาญสัส <CONT_START> นี่คือรำคาญครูเเนะเเนวที่รร.มากเร่งเร้าจะเอารายชื่อมหาลัยอยู่ได้ คือมันสำคัญมากเลยหรอ บ้าบอออ มาเป็นกูดูมั้ย กดดัน <START> นี่คือรำคาญครูเเนะเเนวที่รร.มากเร่งเร้าจะเอารายชื่อมหาลัยอยู่ได้ คือมันสำคัญมากเลยหรอ บ้าบอออ มาเป็นกูดูมั้ย กดดันสัส
<ATTRS> ท้อ▁ไม่อยาก <CONT_START> จนบางทีก็นั่งๆอยู่ก็คิดว่า เรียนแล้วอ่ะ <START>,<ATTRS> ท้อ▁ไม่อยาก <CONT_START> จนบางทีก็นั่งๆอยู่ก็คิดว่า เรียนแล้วอ่ะ <START> ท้อจนบางทีก็นั่งๆอยู่ก็คิดว่า ไม่อยากเรียนแล้วอ่ะ
<ATTRS> ไม่ค่อยเสือกไม่อยาก <CONT_START> ทั้งๆที่โอเคกับรอบ3 แต่ก็สมัครเพราะอยากมีที่เนียนแล้ว... เออ กูเอง😭 เพราะความอยากมีที่เรียนของกูอ่ะ กูเลยไปสมัครรอบ4 แต่ก็บ่นให้รอบ3 กู กูเอ๊งงงง!!!!! <START>,<ATTRS> ไม่ค่อยเสือกไม่อยาก <CONT_START> ทั้งๆที่โอเคกับรอบ3 แต่ก็สมัครเพราะอยากมีที่เนียนแล้ว... เออ กูเอง😭 เพราะความอยากมีที่เรียนของกูอ่ะ กูเลยไปสมัครรอบ4 แต่ก็บ่นให้รอบ3 กู กูเอ๊งงงง!!!!! <START> ทั้งๆที่ไม่ค่อยโอเคกับรอบ3 แต่ก็เสือกสมัครเพราะอยากมีที่เนียนแล้ว... เออ กูเอง😭 เพราะความอยากมีที่เรียนของกูอ่ะ กูเลยไม่อยากไปสมัครรอบ4 แต่ก็เสือกบ่นให้รอบ3 กู กูเอ๊งงงง!!!!!
<ATTRS> นาน เกิ้น แถม ไม่รู้ว่าแมร่งอึดอัด <CONT_START> ตอนนี้รอประกาศผลจนฟุ่งซานล่ะ จะทำไรด้วย ภาวนาให้แต่ถึงวันที่ 29 เร็วๆ โครตเลย <START>,<ATTRS> นาน เกิ้น แถม ไม่รู้ว่าแมร่งอึดอัด <CONT_START> ตอนนี้รอประกาศผลจนฟุ่งซานล่ะ จะทำไรด้วย ภาวนาให้แต่ถึงวันที่ 29 เร็วๆ โครตเลย <START> ตอนนี้รอประกาศผลจนฟุ่งซานล่ะ นานเกิ้นแถมไม่รู้ว่าจะทำไรด้วย แมร่งภาวนาให้แต่ถึงวันที่ 29 เร็วๆ แมร่งโครตอึดอัดเลย
<ATTRS> ไม่ผ่านล่มเหี้ยเหนื่อย โว้ย <CONT_START> ตอนนี้คือเครียดเรื่องสัมภาษณ์ คือถ้าผ่าน ก็ดีไป แต่ถ้านี่ดิ จะทำไงวะ ไหนจะวางแผนเรื่องอันดับ แล้วถ้าเข้าไปสมัครละเว็บ เห้ออ เครียด ทำไมเด็ก61มันเครียดขนาดนี้ ระบบนี่แหละทำให้กูลุกไปไหนไม่ได้ ลุ้นตลอดเวลา ยย!!!! <START>,<ATTRS> ไม่ผ่านล่มเหี้ยเหนื่อย โว้ย <CONT_START> ตอนนี้คือเครียดเรื่องสัมภาษณ์ คือถ้าผ่าน ก็ดีไป แต่ถ้านี่ดิ จะทำไงวะ ไหนจะวางแผนเรื่องอันดับ แล้วถ้าเข้าไปสมัครละเว็บ เห้ออ เครียด ทำไมเด็ก61มันเครียดขนาดนี้ ระบบนี่แหละทำให้กูลุกไปไหนไม่ได้ ลุ้นตลอดเวลา ยย!!!! <START> ตอนนี้คือเครียดเรื่องสัมภาษณ์ คือถ้าผ่าน ก็ดีไป แต่ถ้าไม่ผ่านนี่ดิ จะทำไงวะ ไหนจะวางแผนเรื่องอันดับ แล้วถ้าเข้าไปสมัครละเว็บล่ม เห้ออ เครียด ทำไมเด็ก61มันเครียดขนาดนี้ ระบบเหี้ยนี่แหละทำให้กูลุกไปไหนไม่ได้ ลุ้นตลอดเวลา เหนื่อยโว้ยยย!!!!
<ATTRS> แม่ง <CONT_START> จริงๆนะ คือไม่มีใครเข้าใจ #dek61 เท่าพวกเรากันเองแล้วอะ อยากนัดทุกคนไปยื่นกอดคอร้องไห้55555555 หนักจริง ว่าจะไม่เครียดแต่ก็อดไม่ได้ <START>,<ATTRS> แม่ง <CONT_START> จริงๆนะ คือไม่มีใครเข้าใจ #dek61 เท่าพวกเรากันเองแล้วอะ อยากนัดทุกคนไปยื่นกอดคอร้องไห้55555555 หนักจริง ว่าจะไม่เครียดแต่ก็อดไม่ได้ <START> จริงๆนะ คือไม่มีใครเข้าใจ #dek61 เท่าพวกเรากันเองแล้วอะ อยากนัดทุกคนไปยื่นกอดคอร้องไห้55555555 แม่งหนักจริง ว่าจะไม่เครียดแต่แม่งก็อดไม่ได้
<ATTRS> ล่มอีดอก <CONT_START> จนตอนนี้หนูยังพยายามเข้าเว็บอยู่ เก่ง <START>,<ATTRS> ล่มอีดอก <CONT_START> จนตอนนี้หนูยังพยายามเข้าเว็บอยู่ เก่ง <START> จนตอนนี้หนูยังพยายามเข้าเว็บอยู่ ล่มเก่งอีดอก
<ATTRS> คือแบบแม่งแย่ประสาท จะ แดกหมดพอไม่ดูแพ้แย่มากห่วยนี่ ชอบ อันนี้ แต่ไม่ได้ปัญหาสัส <CONT_START> ความรู้สึกโครตอ่า ต้องคอยตอบคำถามคนนั้นคนนี้โน่นนั่นนี่ โอ้ยยยยยย ละที่สำคัญละ เครียดจนกกกไมเกรน!!! คือตังเยอะมากอ่ากับคำว่าสมัครนั่นนี่ บางที่นะบอกรอบตๆตดูเกรด!!! เกรดน้อยก้อไป อ่า มากเลยยย บางคนก็รอจนรากจะออกก้น คิดมากไง กูจะมีที่เรียนป่าววะ กูอยากเรียนอันหวะ งั้นงี้ สารพัด จนตอนนี้กูก็ยังไม่มีที่เรียน ไม่มีโอกาสแก้ตัว พลาดคือพลาด กูยากที่จะอธิบาย #เหนื่อย <START>,<ATTRS> คือแบบแม่งแย่ประสาท จะ แดกหมดพอไม่ดูแพ้แย่มากห่วยนี่ ชอบ อันนี้ แต่ไม่ได้ปัญหาสัส <CONT_START> ความรู้สึกโครตอ่า ต้องคอยตอบคำถามคนนั้นคนนี้โน่นนั่นนี่ โอ้ยยยยยย ละที่สำคัญละ เครียดจนกกกไมเกรน!!! คือตังเยอะมากอ่ากับคำว่าสมัครนั่นนี่ บางที่นะบอกรอบตๆตดูเกรด!!! เกรดน้อยก้อไป อ่า มากเลยยย บางคนก็รอจนรากจะออกก้น คิดมากไง กูจะมีที่เรียนป่าววะ กูอยากเรียนอันหวะ งั้นงี้ สารพัด จนตอนนี้กูก็ยังไม่มีที่เรียน ไม่มีโอกาสแก้ตัว พลาดคือพลาด กูยากที่จะอธิบาย #เหนื่อย <START> คือแบบความรู้สึกแม่งโครตแย่อ่า ต้องคอยตอบคำถามคนนั้นคนนี้โน่นนั่นนี่ โอ้ยยยยยย ละที่สำคัญละ เครียดจนประสาทจะแดกกกกไมเกรน!!! คือหมดตังเยอะมากอ่ากับคำว่าสมัครนั่นนี่ บางที่นะแม่งบอกรอบพอตๆไม่ดูพอตดูเกรด!!! เกรดน้อยก้อแพ้ไป คือแบบแย่มากอ่า ห่วยมากเลยยย บางคนก็รอจนรากจะออกก้น คือแบบคิดมากไง กูจะมีที่เรียนป่าววะ กูอยากเรียนอันนี่ชอบอันนี้แต่ไม่ได้หวะ งั้นงี้ สารพัดปัญหา จนตอนนี้กูก็ยังไม่มีที่เรียน ไม่มีโอกาสแก้ตัว พลาดคือพลาด กูยากที่จะอธิบาย #เหนื่อยสัส
<ATTRS>  <CONT_START> คือเมื่อคืนฝันดีมาก ฝันว่าได้ใส่ชุดนิสิต ละมีอวดคนอื่นอ่ะ รู้เลยว่าตอนนี้ตัวเองเครียดและหวังไว้สูงมาก <START>,<ATTRS>  <CONT_START> คือเมื่อคืนฝันดีมาก ฝันว่าได้ใส่ชุดนิสิต ละมีอวดคนอื่นอ่ะ รู้เลยว่าตอนนี้ตัวเองเครียดและหวังไว้สูงมาก <START> คือเมื่อคืนฝันดีมาก ฝันว่าได้ใส่ชุดนิสิต ละมีอวดคนอื่นอ่ะ รู้เลยว่าตอนนี้ตัวเองเครียดและหวังไว้สูงมาก
<ATTRS> ห่วยแตกห่วยรวนล่มกั๊ก ที่ กันเยอะ <CONT_START> ความแตกของระบบในปีนี้ไม่ใช่แค่ระบบ เว็บ เด็ก แต่การที่ระบบแบบนี้จะส่งผลให้เด็กในปีนี้หลายพันคนยอมจะทิ้งความฝันตัวเองเพื่อแลกกับความสบายใจว่ามีที่เรียน และมันจะส่งผลเป็นโดมิโน่ไปถึงรุ่นต่อๆไปอีก พิจารณาตัวเองได้แล้วนะทปอ. <START>,<ATTRS> ห่วยแตกห่วยรวนล่มกั๊ก ที่ กันเยอะ <CONT_START> ความแตกของระบบในปีนี้ไม่ใช่แค่ระบบ เว็บ เด็ก แต่การที่ระบบแบบนี้จะส่งผลให้เด็กในปีนี้หลายพันคนยอมจะทิ้งความฝันตัวเองเพื่อแลกกับความสบายใจว่ามีที่เรียน และมันจะส่งผลเป็นโดมิโน่ไปถึงรุ่นต่อๆไปอีก พิจารณาตัวเองได้แล้วนะทปอ. <START> ความห่วยแตกของระบบในปีนี้ไม่ใช่แค่ระบบรวน เว็บล่ม เด็กกั๊กที่กันเยอะ แต่การที่ระบบห่วยแบบนี้จะส่งผลให้เด็กในปีนี้หลายพันคนยอมจะทิ้งความฝันตัวเองเพื่อแลกกับความสบายใจว่ามีที่เรียน และมันจะส่งผลเป็นโดมิโน่ไปถึงรุ่นต่อๆไปอีก พิจารณาตัวเองได้แล้วนะทปอ.
<ATTRS>  <CONT_START> ขำไม่ออกแต่อยากขำและนอนน้ำตาร่วงอยู่ <START>,<ATTRS>  <CONT_START> ขำไม่ออกแต่อยากขำและนอนน้ำตาร่วงอยู่ <START> ขำไม่ออกแต่อยากขำและนอนน้ำตาร่วงอยู่
<ATTRS>  <CONT_START> การเลือกมหาวิทยาลัยว่ายากแล้ว คณะที่จะเลือกให้มันพอดีกับคะแนนเรานั้นยากยิ่งกว่า 😭😂 <START>,<ATTRS>  <CONT_START> การเลือกมหาวิทยาลัยว่ายากแล้ว คณะที่จะเลือกให้มันพอดีกับคะแนนเรานั้นยากยิ่งกว่า 😭😂 <START> การเลือกมหาวิทยาลัยว่ายากแล้ว คณะที่จะเลือกให้มันพอดีกับคะแนนเรานั้นยากยิ่งกว่า 😭😂
<ATTRS> เสียเปรียบไม่ทัน <CONT_START> Dek61รุ่นนี้เห็นๆอ่ะ กว่าจะติดก็ครึ่งค่อนปี จะซิ่วก็ไม่ได้อีก เพราะ เตรียมตัว มีใครใหัมากกว่านี้อีกมั้ยคะ <START>,<ATTRS> เสียเปรียบไม่ทัน <CONT_START> Dek61รุ่นนี้เห็นๆอ่ะ กว่าจะติดก็ครึ่งค่อนปี จะซิ่วก็ไม่ได้อีก เพราะ เตรียมตัว มีใครใหัมากกว่านี้อีกมั้ยคะ <START> Dek61รุ่นนี้เสียเปรียบเห็นๆอ่ะ กว่าจะติดก็ครึ่งค่อนปี จะซิ่วก็ไม่ได้อีก เพราะ เตรียมตัวไม่ทัน มีใครใหัมากกว่านี้อีกมั้ยคะ
<ATTRS> ของคนอื่น สิ ▁ชอบ ยุ่งแม่งดูถูก <CONT_START> แค่คณะนี้เอง ทำไมล่ะ ทำไม แค่นี้ของคุณ มันเป็นสุดยอดของเราเว้ย อย่ามาความชอบของคนอื่นสิ ชอบยุ่งจัง พวกไม่ได้ช่วยจ่ายค่าเทอมสักบาทเนี่ย <START>,<ATTRS> ของคนอื่น สิ ▁ชอบ ยุ่งแม่งดูถูก <CONT_START> แค่คณะนี้เอง ทำไมล่ะ ทำไม แค่นี้ของคุณ มันเป็นสุดยอดของเราเว้ย อย่ามาความชอบของคนอื่นสิ ชอบยุ่งจัง พวกไม่ได้ช่วยจ่ายค่าเทอมสักบาทเนี่ย <START> แค่คณะนี้เอง ทำไมล่ะ ทำไม แค่นี้ของคุณ มันแม่งเป็นสุดยอดของเราเว้ย อย่ามาดูถูกความชอบของคนอื่นสิ ชอบยุ่งจัง พวกไม่ได้ช่วยจ่ายค่าเทอมสักบาทเนี่ย
<ATTRS> เกลียดที่ไหน ได้ ไม่มี <CONT_START>  ชอบหลอกให้สั่งซื้อ สิ้นค้า <START>,<ATTRS> เกลียดที่ไหน ได้ ไม่มี <CONT_START>  ชอบหลอกให้สั่งซื้อ สิ้นค้า <START> เกลียด ชอบหลอกให้สั่งซื้อ ที่ไหนได้ไม่มีสิ้นค้า
<ATTRS> สินค้า ด้อย <CONT_START> คุณภาพ <START>,<ATTRS> สินค้า ด้อย <CONT_START> คุณภาพ <START> สินค้าด้อยคุณภาพ
<ATTRS> ทําไมไม่หมดเซ็ง <CONT_START> สินค้าทำไมไม่แจ้งขึ้นว่าอะ.กดใส่ตะกร้าไปเถอะ.เรย <START>,<ATTRS> ทําไมไม่หมดเซ็ง <CONT_START> สินค้าทำไมไม่แจ้งขึ้นว่าอะ.กดใส่ตะกร้าไปเถอะ.เรย <START> สินค้าหมดทำไมไม่แจ้งขึ้นว่าหมดอะ.กดใส่ตะกร้าไปเถอะ.เซ็งเรย
<ATTRS> ▁อย่าแย่มาก <CONT_START> ทำแบบนี้กับใครอีกนะค่ะค่ะ <START>,<ATTRS> ▁อย่าแย่มาก <CONT_START> ทำแบบนี้กับใครอีกนะค่ะค่ะ <START> อย่าทำแบบนี้กับใครอีกนะค่ะแย่มากค่ะ
<ATTRS> ผิดหวังมาก▁เ เย่ ที่สุดพอ <CONT_START> คือเเบบ ได้ของมาฝาเเตก เเตกนิดหน่อยไม่ว่าเเตกเยอะมาก ครั้งเดียวจบเเยก😢 <START>,<ATTRS> ผิดหวังมาก▁เ เย่ ที่สุดพอ <CONT_START> คือเเบบ ได้ของมาฝาเเตก เเตกนิดหน่อยไม่ว่าเเตกเยอะมาก ครั้งเดียวจบเเยก😢 <START> คือเเบบผิดหวังมาก เเย่ที่สุดได้ของมาฝาเเตก เเตกนิดหน่อยไม่ว่าเเตกเยอะมาก ครั้งเดียวพอจบเเยก😢
<ATTRS> จัง ▁รอ นานมากส่ง ช้ายกเลิก <CONT_START> จัง รอนานมาก ก้อไม่ได้ <START>,<ATTRS> จัง ▁รอ นานมากส่ง ช้ายกเลิก <CONT_START> จัง รอนานมาก ก้อไม่ได้ <START> ส่งช้าจัง รอนานมาก ยกเลิกก้อไม่ได้
<ATTRS> แย่พังไม่พอใจก็ไม่ได้ ใบเสร็จไม่ไหว <CONT_START> มากกกกกกค่ะ เอาของมาให้ฉุนมาดค่ะเป็นอย่างมากค่ะ. ส่งของ . จะเคลียร์ <START>,<ATTRS> แย่พังไม่พอใจก็ไม่ได้ ใบเสร็จไม่ไหว <CONT_START> มากกกกกกค่ะ เอาของมาให้ฉุนมาดค่ะเป็นอย่างมากค่ะ. ส่งของ . จะเคลียร์ <START> แย่มากกกกกกค่ะ เอาของพังมาให้ฉุนมาดค่ะไม่พอใจเป็นอย่างมากค่ะ. ส่งของ ก็ไม่ได้ใบเสร็จ. ไม่ไหวจะเคลียร์
<ATTRS> ▁ไม่ แนะนําใช้ไม่ได้ <CONT_START> ไม่แนะนำซื้อมาใช้ได้วันเดียวแล้ว <START>,<ATTRS> ▁ไม่ แนะนําใช้ไม่ได้ <CONT_START> ไม่แนะนำซื้อมาใช้ได้วันเดียวแล้ว <START> ไม่แนะนำซื้อมาใช้ได้วันเดียวใช้ไม่ได้แล้ว
<ATTRS> แย่ๆหลายวัน แล้วไม่ ส่งให้เหนื่อย กับการ <CONT_START> สั่งสินค้าไปสักทีรอคอย <START>,<ATTRS> แย่ๆหลายวัน แล้วไม่ ส่งให้เหนื่อย กับการ <CONT_START> สั่งสินค้าไปสักทีรอคอย <START> แย่ๆสั่งสินค้าไปหลายวันแล้วไม่ส่งให้สักทีเหนื่อยกับการรอคอย
<ATTRS> เสียไม่ดี <CONT_START> ความรู้สึกอย่างมาก สวยแต่ในรูปใส่ได้ครั้งเดียว  <START>,<ATTRS> เสียไม่ดี <CONT_START> ความรู้สึกอย่างมาก สวยแต่ในรูปใส่ได้ครั้งเดียว  <START> เสียความรู้สึกอย่างมาก สวยแต่ในรูปใส่ได้ครั้งเดียว ไม่ดี
<ATTRS> พังแย่ๆ <CONT_START> ใช้เดือนเดียวมากๆ <START>,<ATTRS> พังแย่ๆ <CONT_START> ใช้เดือนเดียวมากๆ <START> ใช้เดือนเดียวพังแย่ๆมากๆ
<ATTRS> ทําไมไม่เสียใจไม่ตรงแย่ขยะสกปรกปรับปรุง <CONT_START> ความรู้สึกมากกระเป๋าบางมากกะแบบสินค้าที่ลงการแพ็คของส่งก็เอาถุงดำที่ใส่แถมมากทำไมไม่ตรวจสอบก่อนส่งถึงมือลูกค้าเราไปซื้อของคุณนะไม่ได้ไปขอฟรีๆด่วน!!!! <START>,<ATTRS> ทําไมไม่เสียใจไม่ตรงแย่ขยะสกปรกปรับปรุง <CONT_START> ความรู้สึกมากกระเป๋าบางมากกะแบบสินค้าที่ลงการแพ็คของส่งก็เอาถุงดำที่ใส่แถมมากทำไมไม่ตรวจสอบก่อนส่งถึงมือลูกค้าเราไปซื้อของคุณนะไม่ได้ไปขอฟรีๆด่วน!!!! <START> เสียใจความรู้สึกมากกระเป๋าบางมากไม่ตรงกะแบบสินค้าที่ลงการแพ็คของส่งก็แย่เอาถุงดำที่ใส่ขยะแถมสกปรกมากทำไมไม่ตรวจสอบก่อนส่งถึงมือลูกค้าเราไปซื้อของคุณนะไม่ได้ไปขอฟรีๆปรับปรุงด่วน!!!!
<ATTRS> แย่มากเสียหาย <CONT_START> การส่งของ ขนาดตะโกนว่ารอเดี๋ยว ยังโยนสินค้าข้ามรั้ว ถ้าโน้ตบุคจะทำยังไง <START>,<ATTRS> แย่มากเสียหาย <CONT_START> การส่งของ ขนาดตะโกนว่ารอเดี๋ยว ยังโยนสินค้าข้ามรั้ว ถ้าโน้ตบุคจะทำยังไง <START> การส่งของแย่มาก ขนาดตะโกนว่ารอเดี๋ยว ยังโยนสินค้าข้ามรั้ว ถ้าโน้ตบุคเสียหายจะทำยังไง
<ATTRS> เสียพัง <CONT_START> ใช้ในรถระบบ ใช้ต่อไม่ได้ <START>,<ATTRS> เสียพัง <CONT_START> ใช้ในรถระบบ ใช้ต่อไม่ได้ <START> ใช้ในรถระบบเสีย พังใช้ต่อไม่ได้
<ATTRS> ผิดหวัง <CONT_START>  ลบไม่ออก <START>,<ATTRS> ผิดหวัง <CONT_START>  ลบไม่ออก <START> ผิดหวัง ลบไม่ออก
